 reading input parameter from Param.in
  meteorologic parameters
  canopy parameters
  interception parameters
  snow parameters
  leaf parameters affecting PE
  soil parameters
  i1=            1 i2=           13
  flow parameters
  integration specifications
  heat flow
 in\Param.in closed
 in\Climate.in opened
 begin day loop

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
29. 2.2000  460.   0.26   0.00    8.7   0.5   6.6   0.0   0.5   0.0       0.126

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
 1. 3.2000  455.   0.08   0.00    1.4   0.1   5.7   0.0   0.1   0.0      -0.214
 2. 3.2000  464.   0.30   0.00   17.5   0.3   8.3   0.0   0.4   0.0       0.269
 3. 3.2000  465.   0.05   0.00   17.7   0.0  16.1   0.0   0.1   0.0       0.175
 4. 3.2000  458.   0.18   1.39    2.5   0.2   8.8   0.0   0.1   0.0      -0.282
 5. 3.2000  454.   0.13   2.52    1.8   0.2   4.8   0.0   0.0   0.0      -0.211
 6. 3.2000  453.   0.03   0.00    0.6   0.0   3.9   0.0   0.6   0.0      -0.089
 7. 3.2000  453.   0.15   0.00    4.6   0.2   3.9   0.0   0.1   0.0       0.078
 8. 3.2000  467.   0.06   0.00   34.6   0.0  20.4   0.0   0.0   0.0       0.218
 9. 3.2000  466.   0.13   0.00   19.4   0.1  20.9   0.0   0.1   0.0      -0.147
10. 3.2000  462.   0.45   0.00    9.1   0.4  12.4   0.0   0.7   0.0      -0.227
11. 3.2000  460.   0.13   0.00    6.5   0.2   8.5   0.0   0.2   0.0      -0.162
12. 3.2000  455.   0.08   0.00    0.3   0.3   5.7   0.0   0.3   0.0      -0.237
13. 3.2000  453.   0.18   0.00    3.0   0.8   4.1   0.0   0.8   0.0      -0.148
14. 3.2000  465.   0.06   0.00   21.1   0.1   8.7   0.0   0.0   0.0       0.262
15. 3.2000  460.   0.37   1.68    5.8   0.4   9.7   0.0   0.3   0.0      -0.257
16. 3.2000  458.   0.24   0.00    3.5   0.4   6.4   0.0   0.6   0.0      -0.126
17. 3.2000  463.   0.00   0.00   13.1   0.0   8.2   0.0   0.0   0.0       0.232
18. 3.2000  461.   0.06   0.00    6.9   0.0   9.0   0.0   0.0   0.0      -0.152
19. 3.2000  455.   0.13   0.00    0.0   0.8   5.8   0.0   0.9   0.0      -0.242
20. 3.2000  450.   0.00   0.00    0.0   0.7   3.7   0.0   1.0   0.0      -0.194

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
21. 3.2000  447.   0.00   0.00    0.0   0.9   2.8   0.0   1.0   0.0      -0.172
22. 3.2000  444.   0.00   0.00    0.0   1.1   2.2   0.0   1.3   0.0      -0.156
23. 3.2000  441.   0.00   0.00    0.0   0.8   1.9   0.0   1.0   0.0      -0.145
24. 3.2000  446.   0.23   0.00    7.4   0.5   2.0   0.0   0.4   0.0       0.166
25. 3.2000  447.   0.23   0.00    4.5   0.5   2.4   0.0   0.4   0.0       0.121
26. 3.2000  446.   0.08   0.00    1.3   0.4   2.4   0.0   0.5   0.0      -0.126
27. 3.2000  443.   0.01   0.00    0.2   0.6   2.2   0.0   0.8   0.0      -0.149
28. 3.2000  445.   0.00   0.48    4.3   0.0   2.1   0.0  -0.1   0.0       0.122
29. 3.2000  444.   0.04   0.00    0.7  -0.2   2.1   0.0   0.0   0.0      -0.083
30. 3.2000  442.   0.06   0.00    0.1   0.1   2.0   0.0   0.0   0.0      -0.113
31. 3.2000  441.   0.16   0.00    0.9   0.3   1.8   0.0   0.2   0.0      -0.110
 1. 4.2000  440.   0.05   0.00    0.8   0.5   1.7   0.0   0.6   0.0      -0.104
 2. 4.2000  438.   0.00   0.00    0.0   0.8   1.6   0.0   1.0   0.0      -0.135
 3. 4.2000  435.   0.00   0.00    0.0   1.4   1.4   0.0   2.1   0.0      -0.138
 4. 4.2000  433.   0.00   0.00    0.0   1.1   1.2   0.0   1.5   0.0      -0.137
 5. 4.2000  431.   0.00   0.00    0.0   0.6   1.1   0.0   1.0   0.0      -0.126
 6. 4.2000  429.   0.00   0.00    0.0   1.1   1.0   0.0   1.4   0.0      -0.142
 7. 4.2000  428.   0.00   0.00    0.0   0.9   0.9   0.0   1.3   0.0      -0.143
 8. 4.2000  426.   0.00   0.00    0.0   0.8   0.9   0.0   0.9   0.0      -0.144
 9. 4.2000  425.   0.00   0.00    0.0   0.7   0.8   0.0   1.1   0.0      -0.138

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
10. 4.2000  423.   0.00   0.00    0.0   1.0   0.8   0.0   1.5   0.0      -0.141
11. 4.2000  423.   0.01   0.00    0.1   0.0   0.7   0.0   1.5   0.0      -0.108
12. 4.2000  424.   0.16   0.00    2.7   0.2   0.7   0.0   0.7   0.0       0.139
13. 4.2000  424.   0.03   0.00    0.5   0.0   0.8   0.0   1.5   0.0      -0.054
14. 4.2000  424.   0.02   0.00    0.3   0.4   0.7   0.0   0.5   0.0      -0.099
15. 4.2000  423.   0.04   0.00    0.6   0.5   0.7   0.0   0.6   0.0      -0.103
16. 4.2000  421.   0.00   0.00    0.0   1.4   0.7   0.0   2.0   0.0      -0.132
17. 4.2000  420.   0.00   0.00    0.0   0.9   0.6   0.0   1.2   0.0      -0.124
18. 4.2000  422.   0.22   0.00    3.7   1.0   0.6   0.0   1.0   0.0       0.135
19. 4.2000  421.   0.02   0.00    0.4   0.4   0.7   0.0   0.5   0.0      -0.078
20. 4.2000  419.   0.00   0.00    0.0   1.7   0.6   0.0   2.1   0.0      -0.131
21. 4.2000  417.   0.00   0.00    0.0   1.7   0.6   0.0   2.2   0.0      -0.136
22. 4.2000  414.   0.00   0.00    0.0   2.1   0.5   0.0   2.7   0.0      -0.143
23. 4.2000  419.   0.48   0.00    7.9   2.0   0.5   0.0   1.8   0.0       0.020
24. 4.2000  420.   0.06   0.00    1.0   0.2   0.6   0.0   0.2   0.0       0.039
25. 4.2000  417.   0.00   0.00    0.0   1.7   0.6   0.0   2.1   0.0      -0.131
26. 4.2000  415.   0.00   0.00    0.0   2.2   0.5   0.0   2.8   0.0      -0.139
27. 4.2000  412.   0.00   0.00    0.1   2.2   0.5   0.0   2.9   0.0      -0.135
28. 4.2000  411.   0.00   0.00    0.0   1.5   0.4   0.0   2.0   0.0      -0.119
29. 4.2000  412.   0.21   0.00    3.4   1.3   0.4   0.0   1.4   0.0       0.122

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
30. 4.2000  412.   0.05   0.00    0.9   0.3   0.4   0.0   0.3   0.0       0.054
 1. 5.2000  411.   0.00   0.00    0.1   0.7   0.4   0.0   0.8   0.0      -0.079
 2. 5.2000  410.   0.00   0.00    0.0   1.5   0.4   0.0   1.7   0.0      -0.137
 3. 5.2000  407.   0.00   0.00    0.0   2.1   0.4   0.0   2.4   0.0      -0.073
 4. 5.2000  404.   0.00   0.00    0.0   2.6   0.3   0.0   3.1   0.0      -0.063
 5. 5.2000  401.   0.00   0.00    0.0   2.6   0.3   0.0   3.1   0.0      -0.047
 6. 5.2000  398.   0.00   0.00    0.0   2.9   0.3   0.0   3.4   0.3      -0.028
 7. 5.2000  395.   0.01   0.00    0.2   2.9   0.2   0.0   3.0   0.5      -0.039
 8. 5.2000  411.   0.71   0.00   18.1   1.9   0.3   0.0   1.1   0.2       0.037
 9. 5.2000  409.   0.00   0.00    0.0   1.6   0.4   0.0   1.2   0.6      -0.108
10. 5.2000  407.   0.00   0.00    0.0   1.9   0.4   0.0   1.3   0.7      -0.110
11. 5.2000  404.   0.00   0.00    0.0   2.5   0.3   0.0   1.6   1.1      -0.066
12. 5.2000  401.   0.00   0.00    0.0   2.6   0.3   0.0   1.8   1.2      -0.051
13. 5.2000  398.   0.00   0.00    0.0   3.0   0.3   0.0   1.9   1.4      -0.025
14. 5.2000  395.   0.00   0.00    0.0   3.3   0.2   0.0   1.5   1.9      -0.007
15. 5.2000  391.   0.00   0.00    0.0   3.6   0.2   0.0   1.4   2.3       0.010
16. 5.2000  387.   0.02   0.00    0.1   3.4   0.2   0.0   1.3   2.2       0.012
17. 5.2000  388.   0.50   0.00    2.7   1.8   0.2   0.0   0.7   0.7       0.062
18. 5.2000  390.   0.86   0.00    4.3   1.7   0.2   0.0   0.5   0.4       0.061
19. 5.2000  397.   0.83   0.00    8.6   1.4   0.2   0.0   0.4   0.3      -0.023

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
20. 5.2000  399.   0.77   0.00    3.5   1.6   0.3   0.0   0.4   0.5       0.060
21. 5.2000  403.   0.92   0.00    6.2   1.5   0.3   0.0   0.3   0.3      -0.022
22. 5.2000  403.   0.18   0.00    0.7   0.6   0.3   0.0   0.2   0.3      -0.034
23. 5.2000  402.   0.11   0.00    0.4   1.6   0.3   0.0   0.4   1.1      -0.085
24. 5.2000  403.   0.66   0.00    2.5   1.2   0.3   0.0   0.2   0.3       0.073
25. 5.2000  408.   1.00   0.00    6.5   1.4   0.3   0.0   0.2   0.2      -0.009
26. 5.2000  405.   0.00   0.00    0.0   2.6   0.4   0.0   0.6   2.1      -0.061
27. 5.2000  404.   0.38   0.00    1.3   1.9   0.3   0.0   0.5   1.1      -0.094
28. 5.2000  402.   0.05   0.00    0.2   1.6   0.3   0.0   0.6   1.1      -0.092
29. 5.2000  406.   1.23   0.00    5.6   1.8   0.3   0.0   0.2   0.3       0.020
30. 5.2000  407.   1.00   0.00    3.1   1.6   0.4   0.0   0.2   0.4       0.085
31. 5.2000  404.   0.00   0.00    0.0   2.1   0.3   0.0   0.3   1.8      -0.041
 1. 6.2000  402.   0.00   0.00    0.0   2.3   0.3   0.0   0.4   2.0      -0.068
 2. 6.2000  397.   0.00   0.00    0.0   4.4   0.3   0.0   0.5   3.9       0.018
 3. 6.2000  396.   0.84   0.00    2.3   3.6   0.2   0.0   0.3   2.5      -0.063
 4. 6.2000  393.   0.03   0.00    0.1   2.7   0.2   0.0   0.4   2.3      -0.032
 5. 6.2000  396.   1.29   0.00    5.6   1.8   0.2   0.0   0.2   0.4       0.014
 6. 6.2000  400.   1.26   0.00    5.5   1.6   0.3   0.0   0.2   0.2      -0.006
 7. 6.2000  406.   1.17   0.00    7.3   1.6   0.3   0.0   0.2   0.3      -0.027
 8. 6.2000  402.   0.06   0.00    0.0   3.4   0.3   0.0   0.4   3.0      -0.010

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
 9. 6.2000  397.   0.00   0.00    0.0   4.9   0.3   0.0   0.9   4.1       0.009
10. 6.2000  393.   0.20   0.00    0.6   3.7   0.2   0.0   0.4   3.1      -0.011
11. 6.2000  395.   1.40   0.00    4.0   2.2   0.2   0.0   0.2   0.6       0.072
12. 6.2000  391.   0.00   0.00    0.0   3.7   0.2   0.0   0.5   3.3       0.005
13. 6.2000  386.   0.03   0.00    0.1   4.9   0.2   0.0   0.6   4.3       0.012
