YR;  MO;DA;DOY;NL; SWATI; THETA;WETNES;  PSIMI;  PSITI; TEMPERATURE
2001;  1;  4;   4;   15;   36.2;  0.292;  0.930;    -6.3;   -16.6
2001;  1;  4;   4;   16;   36.3;  0.293;  0.933;    -6.0;   -18.3
2001;  1;  4;   4;   17;    7.8;  0.259;  0.970;    -5.1;   -19.8
2001;  1;  5;   5;    1;    5.2;  0.555;  1.000;     0.0;     0.0
2001;  1;  5;   5;    2;    9.8;  0.522;  1.000;     0.0;    -0.2
2001;  1;  5;   5;    3;    9.8;  0.522;  1.000;     0.0;    -0.4
2001;  1;  5;   5;    4;   14.7;  0.522;  1.000;     0.0;    -0.6
2001;  1;  5;   5;    5;   16.1;  0.419;  1.000;     0.0;    -1.0
2001;  1;  5;   5;    6;   16.1;  0.419;  1.000;     0.0;    -1.4
2001;  1;  5;   5;    7;   16.1;  0.419;  1.000;     0.0;    -1.8
2001;  1;  5;   5;    8;   20.1;  0.419;  1.000;     0.0;    -2.2
2001;  1;  5;   5;    9;   40.3;  0.419;  1.000;     0.0;    -2.9
2001;  1;  5;   5;   10;   40.3;  0.419;  1.000;     0.0;    -3.9
2001;  1;  5;   5;   11;   40.3;  0.419;  1.000;     0.0;    -4.9
2001;  1;  5;   5;   12;   30.2;  0.368;  1.000;     0.0;    -5.9
2001;  1;  5;   5;   13;   41.3;  0.336;  0.891;    -3.2;   -10.3
2001;  1;  5;   5;   14;   27.2;  0.292;  0.930;    -6.2;   -14.8
2001;  1;  5;   5;   15;   36.2;  0.292;  0.930;    -6.3;   -16.6
2001;  1;  5;   5;   16;   36.3;  0.293;  0.933;    -5.9;   -18.2
2001;  1;  5;   5;   17;    7.8;  0.259;  0.972;    -4.8;   -19.6
2001;  1;  6;   6;    1;    4.7;  0.502;  0.892;    -2.3;    -2.4
2001;  1;  6;   6;    2;    9.1;  0.483;  0.915;    -2.2;    -2.4
2001;  1;  6;   6;    3;    9.1;  0.486;  0.921;    -2.0;    -2.4
2001;  1;  6;   6;    4;   13.8;  0.490;  0.930;    -1.8;    -2.4
2001;  1;  6;   6;    5;   15.4;  0.402;  0.950;    -1.5;    -2.5
2001;  1;  6;   6;    6;   15.5;  0.404;  0.956;    -1.3;    -2.7
2001;  1;  6;   6;    7;   15.6;  0.407;  0.963;    -1.1;    -2.8
2001;  1;  6;   6;    8;   19.7;  0.410;  0.973;    -0.8;    -3.0
2001;  1;  6;   6;    9;   40.0;  0.417;  0.992;    -0.3;    -3.2
2001;  1;  6;   6;   10;   40.3;  0.419;  1.000;     0.0;    -3.9
2001;  1;  6;   6;   11;   40.3;  0.419;  1.000;     0.0;    -4.9
2001;  1;  6;   6;   12;   30.2;  0.368;  1.000;     0.0;    -5.9
2001;  1;  6;   6;   13;   45.3;  0.368;  1.000;     0.0;    -7.1
2001;  1;  6;   6;   14;   28.7;  0.309;  1.000;     0.0;    -8.6
2001;  1;  6;   6;   15;   36.6;  0.295;  0.941;    -5.2;   -15.5
